               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10361,            0.044176,            0.049505,          0.00064992,             0.10087,            0.000529,          0.00015688,            0.080929,            0.018737,            0.040337,            0.070789,           0.0032456,           0.0032456
                   1,            0.095611,            0.048633,            0.048591,           0.0013309,            0.069855,          0.00079196,          0.00028574,            0.078992,            0.018907,              0.0401,            0.040763,           0.0065529,           0.0065529
                   2,            0.093097,            0.049816,            0.048252,          0.00039816,            0.074589,           0.0060889,           0.0011757,            0.077909,            0.018203,            0.039661,            0.010711,           0.0098338,           0.0098338
                   3,            0.089306,              0.0477,            0.047864,           0.0010274,            0.082486,          0.00085447,          0.00021531,             0.07668,            0.017718,            0.041008,           0.0098812,           0.0098812,           0.0098812
                   4,            0.087268,            0.048607,            0.047478,          0.00082847,            0.085283,          0.00056211,          0.00015491,            0.081892,            0.016424,            0.046852,           0.0098812,           0.0098812,           0.0098812
                   5,            0.086211,            0.046782,            0.047105,          0.00081328,             0.10319,          0.00091475,          0.00022956,             0.07709,            0.016159,            0.040295,           0.0098416,           0.0098416,           0.0098416
                   6,             0.08481,             0.05028,            0.046542,           0.0013831,             0.16244,           0.0041302,           0.0011469,             0.07459,            0.015713,             0.03793,            0.009802,            0.009802,            0.009802
                   7,            0.082904,            0.049805,            0.046016,           0.0021108,             0.24164,            0.016224,           0.0033096,            0.073868,            0.016767,             0.03793,           0.0097624,           0.0097624,           0.0097624
                   8,            0.079766,            0.049762,            0.045264,           0.0021988,             0.22673,           0.0039829,           0.0011857,            0.071607,            0.020713,            0.037632,           0.0097228,           0.0097228,           0.0097228
                   9,            0.078308,            0.051485,             0.04481,           0.0039161,             0.39488,            0.019922,           0.0072205,            0.072073,            0.020727,            0.037865,           0.0096832,           0.0096832,           0.0096832
                  10,            0.075812,            0.050217,            0.044157,           0.0039614,             0.33231,           0.0099623,           0.0025265,            0.072467,            0.019135,            0.040024,           0.0096436,           0.0096436,           0.0096436
                  11,             0.07498,            0.049946,             0.04317,             0.82073,            0.073913,            0.023047,           0.0063144,            0.070337,            0.019811,             0.03651,            0.009604,            0.009604,            0.009604
                  12,            0.075488,            0.054034,            0.043859,             0.80853,             0.12174,            0.018404,           0.0061165,             0.07033,            0.021513,            0.037197,           0.0095644,           0.0095644,           0.0095644
                  13,            0.071895,            0.051481,            0.042673,             0.82439,            0.026087,            0.020067,           0.0052509,             0.06898,            0.019635,            0.037273,           0.0095248,           0.0095248,           0.0095248
                  14,            0.072121,            0.053733,            0.042461,             0.81539,            0.065217,            0.014804,           0.0038719,            0.066802,            0.019272,            0.034599,           0.0094852,           0.0094852,           0.0094852
                  15,            0.070165,            0.053498,            0.042128,             0.22252,             0.14619,            0.030769,           0.0088874,             0.06989,            0.017694,            0.034966,           0.0094456,           0.0094456,           0.0094456
                  16,            0.068257,            0.051622,            0.041553,              0.4658,            0.088261,            0.026337,           0.0082927,            0.067133,             0.01982,            0.035896,            0.009406,            0.009406,            0.009406
