               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10313,            0.044062,             0.04938,          0.00016067,            0.023043,          9.1164e-05,          1.4163e-05,            0.080665,            0.018691,            0.040131,            0.070789,           0.0032456,           0.0032456
                   1,            0.094169,            0.048808,            0.048775,          0.00024737,            0.080936,          0.00017672,          3.6873e-05,            0.078354,            0.018908,            0.039818,            0.040763,           0.0065529,           0.0065529
                   2,             0.09194,            0.049872,             0.04812,           0.0011289,             0.13975,           0.0014992,          0.00026644,            0.082616,            0.015193,            0.042892,            0.010711,           0.0098338,           0.0098338
                   3,            0.089055,            0.047412,            0.047687,          0.00056554,            0.067014,          0.00071108,          0.00019111,            0.086287,            0.015151,            0.045609,           0.0098812,           0.0098812,           0.0098812
                   4,             0.08865,            0.047637,            0.047451,           0.0012703,             0.12005,          0.00080463,          0.00017725,            0.078534,            0.016605,            0.040558,           0.0098812,           0.0098812,           0.0098812
                   5,             0.08811,            0.045778,            0.047147,          0.00053637,            0.062464,          0.00034241,          8.4082e-05,            0.076349,            0.016333,             0.03878,           0.0098416,           0.0098416,           0.0098416
                   6,             0.08663,            0.049308,            0.046951,           0.0009541,             0.11382,          0.00075259,          0.00024266,            0.075436,            0.015863,            0.038067,            0.009802,            0.009802,            0.009802
                   7,            0.085008,            0.048822,            0.046744,           0.0018953,             0.21509,           0.0023815,          0.00071364,            0.073037,             0.01654,             0.03783,           0.0097624,           0.0097624,           0.0097624
                   8,            0.082702,            0.048258,            0.046347,           0.0022246,              0.2419,            0.005285,           0.0010147,            0.072811,            0.017201,             0.03772,           0.0097228,           0.0097228,           0.0097228
                   9,            0.081491,            0.049948,             0.04642,           0.0019105,             0.20479,           0.0029463,          0.00087356,            0.073296,            0.018261,            0.037926,           0.0096832,           0.0096832,           0.0096832
                  10,            0.079261,            0.049102,            0.046105,           0.0029241,             0.30311,            0.011014,           0.0022956,             0.07405,            0.018625,            0.037556,           0.0096436,           0.0096436,           0.0096436
                  11,            0.079107,            0.048978,            0.045978,           0.0028267,             0.30816,            0.011592,           0.0026951,            0.074026,            0.020938,            0.038013,            0.009604,            0.009604,            0.009604
                  12,            0.078928,            0.053488,            0.046379,           0.0018443,             0.21943,           0.0029766,          0.00072064,            0.072291,            0.018348,            0.038311,           0.0095644,           0.0095644,           0.0095644
                  13,            0.075758,             0.05122,            0.045993,           0.0031429,             0.35138,            0.008775,           0.0020473,            0.070765,             0.01922,            0.038177,           0.0095248,           0.0095248,           0.0095248
                  14,             0.07559,            0.053639,             0.04567,             0.21424,             0.11758,            0.013241,           0.0034271,            0.070602,            0.019587,            0.038166,           0.0094852,           0.0094852,           0.0094852
                  15,            0.073678,             0.05389,            0.045438,           0.0035792,             0.41603,           0.0078439,           0.0019601,             0.06951,            0.018339,            0.037235,           0.0094456,           0.0094456,           0.0094456
                  16,            0.071793,            0.052432,            0.044917,             0.80678,            0.043478,            0.010102,            0.002219,            0.068511,            0.018622,            0.036961,            0.009406,            0.009406,            0.009406
                  17,            0.071305,            0.054012,            0.044931,            0.004424,             0.37357,            0.012784,           0.0032885,            0.067293,            0.018475,            0.036545,           0.0093664,           0.0093664,           0.0093664
                  18,            0.071402,            0.054109,            0.044755,               0.813,            0.069565,            0.013952,           0.0035604,            0.066616,            0.018397,            0.036167,           0.0093268,           0.0093268,           0.0093268
                  19,            0.070206,            0.053404,            0.043949,           0.0066581,            0.086957,            0.015467,           0.0038872,            0.065483,            0.018794,            0.035908,           0.0092872,           0.0092872,           0.0092872
                  20,            0.069657,            0.054647,            0.044074,           0.0089133,             0.17879,            0.014465,            0.004206,            0.065579,            0.018462,            0.035374,           0.0092476,           0.0092476,           0.0092476
                  21,            0.067804,             0.05486,            0.043743,            0.015674,             0.13261,            0.023598,           0.0065666,             0.06671,            0.017664,            0.036465,            0.009208,            0.009208,            0.009208
                  22,            0.068696,            0.056194,            0.043281,           0.0071856,              0.4777,            0.023973,           0.0075616,            0.064673,             0.01842,            0.036034,           0.0091684,           0.0091684,           0.0091684
                  23,            0.066906,            0.052605,            0.043194,             0.62014,            0.078261,            0.030275,           0.0076453,            0.063807,            0.019856,            0.035324,           0.0091288,           0.0091288,           0.0091288
                  24,            0.066954,            0.051939,            0.043102,            0.026772,            0.080435,            0.025262,            0.007691,            0.062329,            0.020767,            0.035187,           0.0090892,           0.0090892,           0.0090892
                  25,            0.065829,             0.05116,            0.042609,            0.034385,            0.085217,            0.024743,           0.0075145,            0.062538,             0.01904,            0.034996,           0.0090496,           0.0090496,           0.0090496
                  26,            0.066174,            0.051742,            0.042434,            0.058381,             0.10756,            0.035645,           0.0097281,            0.063337,            0.019096,            0.034828,             0.00901,             0.00901,             0.00901
                  27,            0.065023,            0.051998,            0.043019,            0.068376,             0.11076,             0.05118,            0.018378,            0.062029,            0.018885,            0.035473,           0.0089704,           0.0089704,           0.0089704
                  28,            0.065054,            0.050675,            0.042201,            0.055828,             0.14585,            0.049157,            0.013269,             0.06174,            0.018717,            0.035286,           0.0089308,           0.0089308,           0.0089308
                  29,            0.064106,            0.051065,            0.041864,             0.44343,              0.1187,            0.048043,            0.015157,            0.065397,            0.016611,            0.038231,           0.0088912,           0.0088912,           0.0088912
                  30,             0.06392,            0.052119,            0.041937,             0.28021,             0.12165,            0.070349,            0.021134,            0.060974,            0.018111,            0.035702,           0.0088516,           0.0088516,           0.0088516
                  31,            0.063408,            0.051462,            0.042127,             0.46761,             0.11696,            0.061929,             0.01854,             0.06063,            0.018686,            0.034996,            0.008812,            0.008812,            0.008812
                  32,             0.06268,            0.053336,            0.041112,              0.4505,             0.09913,            0.042462,            0.011679,            0.062001,            0.017711,             0.03442,           0.0087724,           0.0087724,           0.0087724
                  33,             0.06213,            0.049208,            0.040941,             0.50168,             0.12009,            0.073606,            0.028476,            0.060817,            0.018136,            0.035069,           0.0087328,           0.0087328,           0.0087328
                  34,            0.063279,            0.050831,            0.041312,             0.31343,             0.11411,            0.062534,            0.019954,            0.060264,            0.018351,            0.035686,           0.0086932,           0.0086932,           0.0086932
                  35,            0.061207,            0.051932,            0.040633,             0.45842,            0.079565,            0.050536,            0.016555,            0.060805,             0.01759,            0.036293,           0.0086536,           0.0086536,           0.0086536
                  36,            0.061251,            0.051296,            0.041068,             0.27978,             0.10957,             0.08168,            0.026931,            0.063079,            0.017314,              0.0341,            0.008614,            0.008614,            0.008614
                  37,            0.061745,            0.051043,              0.0399,             0.49293,             0.09401,            0.074599,            0.024347,            0.062876,            0.017128,            0.034157,           0.0085744,           0.0085744,           0.0085744
                  38,            0.060372,            0.049253,             0.04043,              0.2714,             0.09504,            0.069732,            0.023481,            0.060268,            0.017458,            0.034138,           0.0085348,           0.0085348,           0.0085348
                  39,            0.060986,            0.049412,            0.040347,             0.12685,             0.13343,            0.071155,            0.027259,            0.061546,            0.017586,            0.034115,           0.0084952,           0.0084952,           0.0084952
                  40,            0.060509,            0.051555,            0.039404,             0.30943,             0.12288,            0.079763,            0.025807,             0.05807,            0.017931,            0.033775,           0.0084556,           0.0084556,           0.0084556
                  41,            0.060069,            0.049022,            0.039756,              0.7412,             0.13696,            0.092429,            0.033018,            0.058462,            0.018815,            0.033997,            0.008416,            0.008416,            0.008416
                  42,            0.060536,             0.05059,            0.039836,             0.26101,            0.082174,            0.054746,             0.01787,            0.057671,            0.017948,            0.035633,           0.0083764,           0.0083764,           0.0083764
                  43,            0.058974,            0.049938,            0.039423,            0.099133,              0.1028,            0.079932,            0.025771,            0.056956,            0.018123,            0.033531,           0.0083368,           0.0083368,           0.0083368
                  44,            0.059491,            0.050262,            0.039411,             0.48198,            0.082705,            0.060092,             0.01972,            0.059853,            0.017918,            0.034683,           0.0082972,           0.0082972,           0.0082972
                  45,             0.05702,            0.047024,            0.038329,             0.15701,              0.1207,            0.076617,            0.024573,            0.057607,            0.017205,            0.034218,           0.0082576,           0.0082576,           0.0082576
                  46,            0.057821,            0.048609,            0.039092,             0.11923,             0.12636,            0.071416,            0.027755,            0.059289,            0.017195,            0.035511,            0.008218,            0.008218,            0.008218
                  47,            0.057328,            0.048185,            0.038399,             0.14758,              0.1225,            0.087363,            0.033511,            0.057822,            0.017699,            0.034344,           0.0081784,           0.0081784,           0.0081784
                  48,            0.058551,            0.051009,            0.037764,             0.31251,             0.14454,            0.088417,            0.031631,            0.057665,            0.017971,            0.034592,           0.0081388,           0.0081388,           0.0081388
                  49,            0.058054,            0.051681,            0.038392,             0.13756,              0.1415,             0.11278,            0.031592,            0.056934,            0.017622,            0.035191,           0.0080992,           0.0080992,           0.0080992
                  50,            0.057525,            0.048638,            0.037728,             0.43288,             0.16246,             0.11967,            0.034452,            0.060213,            0.016807,            0.033096,           0.0080596,           0.0080596,           0.0080596
