               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10739,            0.043563,            0.049775,          0.00013367,            0.035556,          0.00021771,          6.8061e-05,            0.084466,            0.019055,            0.040512,            0.070789,           0.0032456,           0.0032456
                   1,             0.10121,            0.047601,             0.04921,          0.00021077,            0.053737,          0.00015558,          4.6731e-05,            0.082342,            0.018485,            0.040398,            0.040763,           0.0065529,           0.0065529
                   2,            0.096889,            0.049199,            0.048822,           0.0005548,            0.088019,          0.00043094,           9.556e-05,            0.080567,            0.018773,             0.04023,            0.010711,           0.0098338,           0.0098338
                   3,             0.09202,            0.047529,            0.048261,          0.00099253,             0.10147,          0.00061682,          0.00023162,            0.082432,            0.018214,            0.047058,           0.0098812,           0.0098812,           0.0098812
                   4,            0.089772,            0.047917,            0.047657,           0.0012757,             0.12704,            0.001735,          0.00044443,            0.084187,            0.017076,            0.054741,           0.0098812,           0.0098812,           0.0098812
                   5,            0.088899,            0.045946,            0.047163,           0.0020955,             0.15593,           0.0015704,          0.00041615,             0.07544,            0.017904,            0.039192,           0.0098416,           0.0098416,           0.0098416
                   6,             0.08709,            0.049522,            0.046776,           0.0019281,             0.17233,           0.0027114,          0.00080917,            0.077653,             0.02245,            0.039795,            0.009802,            0.009802,            0.009802
                   7,            0.085898,            0.048563,            0.046481,           0.0035718,             0.37852,            0.016705,           0.0032129,            0.073444,            0.025623,            0.037479,           0.0097624,           0.0097624,           0.0097624
                   8,            0.083326,            0.048186,             0.04585,           0.0039559,             0.45246,             0.01948,           0.0061557,            0.069576,            0.020344,             0.03701,           0.0097228,           0.0097228,           0.0097228
                   9,             0.08088,            0.050276,            0.046137,           0.0035708,             0.39731,            0.012601,           0.0029755,            0.069266,            0.018146,            0.037247,           0.0096832,           0.0096832,           0.0096832
                  10,            0.077611,            0.049606,            0.045939,           0.0038257,             0.43149,             0.01013,           0.0027851,            0.067814,            0.016769,            0.037094,           0.0096436,           0.0096436,           0.0096436
                  11,            0.076968,            0.049402,            0.045441,           0.0031408,             0.37117,           0.0036748,          0.00089615,            0.070278,            0.016514,            0.037766,            0.009604,            0.009604,            0.009604
                  12,            0.077219,            0.053265,            0.045885,           0.0026073,             0.27737,           0.0043991,           0.0010586,            0.069022,             0.01827,            0.037792,           0.0095644,           0.0095644,           0.0095644
                  13,            0.073544,            0.050943,            0.045088,           0.0028683,             0.31296,           0.0038384,           0.0010968,            0.068993,            0.017676,            0.040012,           0.0095248,           0.0095248,           0.0095248
                  14,            0.073038,            0.053093,             0.04471,           0.0040571,             0.47241,            0.010933,           0.0027835,            0.065463,            0.017778,            0.036022,           0.0094852,           0.0094852,           0.0094852
                  15,            0.070612,             0.05304,            0.044213,              0.6098,            0.056522,            0.013416,           0.0044326,            0.066713,            0.017642,            0.037376,           0.0094456,           0.0094456,           0.0094456
                  16,            0.069532,            0.051225,            0.043105,            0.017043,            0.056522,            0.013974,            0.004305,            0.066706,             0.02034,            0.036659,            0.009406,            0.009406,            0.009406
                  17,            0.068253,            0.053006,            0.042867,             0.22613,            0.026087,            0.023909,           0.0092176,             0.06509,            0.019788,            0.036034,           0.0093664,           0.0093664,           0.0093664
                  18,            0.068771,            0.052307,            0.043138,             0.82624,            0.056522,            0.036867,            0.013656,            0.064847,            0.019248,             0.03656,           0.0093268,           0.0093268,           0.0093268
                  19,            0.066783,            0.051712,            0.042079,             0.22153,            0.056522,            0.024512,           0.0081189,            0.063319,            0.019273,            0.037384,           0.0092872,           0.0092872,           0.0092872
                  20,            0.065947,            0.053176,            0.041825,               0.241,            0.054783,            0.024054,           0.0063188,            0.065407,            0.019329,            0.034439,           0.0092476,           0.0092476,           0.0092476
                  21,            0.065125,             0.05324,            0.041632,             0.27049,            0.072776,            0.032677,            0.013175,            0.065946,            0.019433,            0.035156,            0.009208,            0.009208,            0.009208
                  22,            0.065465,            0.054744,            0.041243,             0.02496,             0.14962,            0.033483,            0.018124,            0.063539,            0.018447,            0.036083,           0.0091684,           0.0091684,           0.0091684
                  23,            0.063988,            0.051451,            0.040435,             0.28964,            0.037124,            0.049369,             0.01936,            0.061831,            0.018447,            0.034206,           0.0091288,           0.0091288,           0.0091288
                  24,            0.064308,            0.050957,            0.040767,            0.013054,             0.13102,            0.010814,           0.0036436,            0.064367,            0.023561,            0.036125,           0.0090892,           0.0090892,           0.0090892
                  25,            0.062927,             0.05011,            0.040776,             0.43372,            0.091304,             0.05192,            0.014419,             0.06716,            0.017217,            0.037552,           0.0090496,           0.0090496,           0.0090496
                  26,            0.063459,            0.050729,            0.040134,            0.051389,             0.04913,            0.044962,            0.016806,            0.059946,            0.018738,            0.034782,             0.00901,             0.00901,             0.00901
                  27,            0.062856,              0.0506,            0.040499,             0.11898,             0.08793,            0.047633,            0.015714,            0.061818,            0.017712,            0.036453,           0.0089704,           0.0089704,           0.0089704
                  28,            0.062483,            0.049501,            0.040251,             0.13214,            0.089521,             0.07575,            0.030555,              0.0602,            0.018503,            0.035599,           0.0089308,           0.0089308,           0.0089308
